#WAVELENGTH FLUX ERROR
8275.0 1.1513540431072256e-15 2.1465204905752934e-16
8276.078526417838 1.1946962685442035e-15 4.648492668319343e-17
8277.157052835677 1.2587940546495021e-15 4.677078260185884e-17
8278.235579253515 1.2315433427353895e-15 4.5983045353485827e-17
8279.314105671352 1.2697213068725296e-15 4.590234710070962e-17
8280.39263208919 1.2590738727483496e-15 4.545485490997452e-17
8281.471158507029 1.2326054772063275e-15 4.4494352468175227e-17
8282.549684924867 1.2539093564614053e-15 4.388502103812068e-17
8283.628211342704 1.3149118209288373e-15 4.3390646693737034e-17
8284.706737760544 1.3315365518937363e-15 4.2733036128709427e-17
8285.785264178381 1.2992030638840353e-15 4.172649892303143e-17
8286.863790596219 1.3255592042700103e-15 4.1962655425017294e-17
8287.942317014058 1.4418173432396891e-15 4.7701263143129815e-17
8289.020843431896 1.3828665159506446e-15 4.343777759942533e-17
8290.099369849733 1.3680394012157772e-15 4.216757530654885e-17
8291.17789626757 1.391071804907482e-15 4.108913356948236e-17
8292.25642268541 1.3984523226423841e-15 3.974604512125977e-17
8293.334949103248 1.359956997277447e-15 3.887219611519763e-17
8294.413475521085 1.3839823053027475e-15 3.8566245180917454e-17
8295.492001938925 1.3774650132066074e-15 3.895089339387153e-17
8296.570528356762 1.396921047335969e-15 3.9731225417929844e-17
8297.6490547746 1.4326331210523614e-15 3.981639769934874e-17
8298.727581192437 1.399170501408711e-15 4.0619223688351364e-17
8299.806107610277 1.4932461134266247e-15 4.07614537154759e-17
8300.884634028114 1.4756276977621831e-15 3.921198373965481e-17
8301.963160445952 1.453552296057534e-15 3.7866033376521143e-17
8303.041686863791 1.4734110904482742e-15 3.719223101739586e-17
8304.120213281629 1.466206682086566e-15 3.674312881163784e-17
8305.198739699466 1.5271714267001136e-15 3.675481228072881e-17
8306.277266117306 1.5055531071151162e-15 3.635421724381543e-17
8307.355792535143 1.5263371652620844e-15 3.644157917280929e-17
8308.43431895298 1.5326063696910063e-15 3.632173453855434e-17
8309.512845370818 1.5832827512233312e-15 3.695739752148314e-17
8310.591371788658 1.5973411200096882e-15 3.714106827711447e-17
8311.669898206495 1.5953991984094483e-15 3.6869699019791496e-17
8312.748424624333 1.5635656024315938e-15 3.603167357304508e-17
8313.826951042172 1.5704817939036351e-15 3.55283803048173e-17
8314.90547746001 1.566742047849981e-15 3.525582356013146e-17
8315.984003877847 1.5948588357067683e-15 3.5019890328164197e-17
8317.062530295685 1.6037590580131436e-15 3.4361867006468146e-17
8318.141056713524 1.6473098866130233e-15 3.457051064411728e-17
8319.219583131362 1.637289628882437e-15 3.44304536962058e-17
8320.2981095492 1.5904211297671767e-15 3.3735761732929454e-17
8321.376635967039 1.6344426355417835e-15 3.362639138281355e-17
8322.455162384877 1.653332798168524e-15 3.3269966502908476e-17
8323.533688802714 1.6248892124727841e-15 3.318157432536262e-17
8324.612215220553 1.6499422252487554e-15 3.2865529627026763e-17
8325.690741638391 1.692451018811372e-15 3.298510929998443e-17
8326.769268056229 1.6379056918282317e-15 3.2470403957522405e-17
8327.847794474066 1.6384782099791799e-15 3.1946823529567573e-17
8328.926320891906 1.6892995988679899e-15 3.211237548406245e-17
8330.004847309743 1.7115206420772277e-15 3.190964079369168e-17
8331.08337372758 1.7178034675579298e-15 3.17086992426672e-17
8332.16190014542 1.6595654895281494e-15 3.1008141838435316e-17
8333.240426563258 1.6943269304203733e-15 3.091746913709906e-17
8334.318952981095 1.6876375996810205e-15 3.06610987840441e-17
8335.397479398933 1.6759408182391418e-15 3.030281611252241e-17
8336.476005816772 1.630912490574192e-15 2.9533416865083726e-17
8337.55453223461 1.6703675763945033e-15 2.977741118445529e-17
8338.633058652447 1.704203934355349e-15 2.970027726775867e-17
8339.711585070287 1.6629586597771525e-15 2.912801032024317e-17
8340.790111488124 1.6726752025134034e-15 2.9367996126730025e-17
8341.868637905962 1.6988779728536541e-15 3.014113024568244e-17
8342.9471643238 1.6772712563503813e-15 3.1541745336315196e-17
8344.025690741639 1.6754183680303648e-15 3.3558577471396767e-17
8345.104217159476 1.6528160396507194e-15 3.4028800034076605e-17
8346.182743577314 1.6987857121051599e-15 3.252214574902608e-17
8347.261269995153 1.6969247455077027e-15 3.021530927113263e-17
8348.33979641299 1.6969942096621824e-15 2.8275352818056236e-17
8349.418322830828 1.725716592708655e-15 2.790517280520183e-17
8350.496849248668 1.7337276251189341e-15 2.782654880051259e-17
8351.575375666505 1.7001258372814384e-15 2.815254046539841e-17
8352.653902084343 1.7122807488612708e-15 2.864830558174026e-17
8353.73242850218 1.7022927038275993e-15 2.856816381975874e-17
8354.81095492002 1.7243799708939165e-15 2.795196180994751e-17
8355.889481337857 1.7425793651698746e-15 2.6982065591593094e-17
8356.968007755695 1.73385214077227e-15 2.6338299358676216e-17
8358.046534173534 1.7435783760182395e-15 2.609648768810032e-17
8359.125060591372 1.7443130550308334e-15 2.6057704276254902e-17
8360.20358700921 1.7671234900726876e-15 2.608291866066715e-17
8361.282113427049 1.78119093224599e-15 2.6009285219051135e-17
8362.360639844886 1.7854676581348554e-15 2.60326734444129e-17
8363.439166262724 1.81998767935093e-15 2.629827979435738e-17
8364.517692680562 1.7643642641269796e-15 2.627904646353171e-17
8365.596219098401 1.7945110702352417e-15 2.6157285065057437e-17
8366.674745516239 1.7986353426904926e-15 2.6014301208377038e-17
8367.753271934076 1.8028809924788704e-15 2.5543909607576964e-17
8368.831798351915 1.8086950102353153e-15 2.5237116796064525e-17
8369.910324769753 1.790983581140308e-15 2.499378986251795e-17
8370.98885118759 1.8181531773818432e-15 2.5193389927968016e-17
8372.067377605428 1.838069842181723e-15 2.5011795290570187e-17
8373.145904023268 1.8290933041244438e-15 2.504450577472584e-17
8374.224430441105 1.838557968157019e-15 2.4815009151161668e-17
8375.302956858943 1.8456862043683584e-15 2.4925959201544542e-17
8376.381483276782 1.850449081328677e-15 2.46586296949315e-17
8377.46000969462 1.863216623824115e-15 2.464240647711727e-17
8378.538536112457 1.829563261409445e-15 2.4465764695467672e-17
8379.617062530295 1.852751613121159e-15 2.4720233120495662e-17
8380.695588948134 1.8415246666723614e-15 2.4885764262689122e-17
8381.774115365972 1.834903472236942e-15 2.531088684017198e-17
8382.85264178381 1.8398887218023482e-15 2.5344129430303188e-17
8383.931168201649 1.8580170353354496e-15 2.502614879290806e-17
8385.009694619486 1.8473918093071418e-15 2.4392614466290513e-17
8386.088221037324 1.883497830972668e-15 2.4039043155110378e-17
8387.166747455163 1.8860568574257413e-15 2.3837651742785245e-17
8388.245273873 1.870269120666575e-15 2.3622805945344475e-17
8389.323800290838 1.892922219315415e-15 2.3753116642230727e-17
8390.402326708676 1.869802801844264e-15 2.3576147187785278e-17
8391.480853126515 1.8623076359337132e-15 2.3470578555399083e-17
8392.559379544353 1.860251275100728e-15 2.348008441860679e-17
8393.63790596219 1.8529172743144367e-15 2.3290684212956832e-17
8394.71643238003 1.845964044354724e-15 2.3162663731169007e-17
8395.794958797867 1.8293672849254058e-15 2.3287248749766624e-17
8396.873485215705 1.8622851745123544e-15 2.3936403191029122e-17
8397.952011633542 1.849381883005744e-15 2.5248669206036748e-17
8399.030538051382 1.8838250412895144e-15 2.6816101596110716e-17
8400.10906446922 1.8372654021223743e-15 2.683234939912592e-17
8401.187590887057 1.8690946674113215e-15 2.561418995689644e-17
8402.266117304896 1.8689949665113304e-15 2.4083715008417742e-17
8403.344643722734 1.888751769144542e-15 2.306009170434374e-17
8404.423170140572 1.9240049632975384e-15 2.3002326183160008e-17
8405.501696558411 1.915420399769833e-15 2.2893173685890423e-17
8406.580222976248 1.8963575899414255e-15 2.2783909801911088e-17
8407.658749394086 1.932261657549498e-15 2.2929150720607112e-17
8408.737275811924 1.916032472703611e-15 2.279263448323931e-17
8409.815802229763 1.942848011760249e-15 2.2895410953069045e-17
8410.8943286476 1.9380007451344536e-15 2.2894411249912906e-17
8411.972855065438 1.912263488320256e-15 2.2828396150877925e-17
8413.051381483278 1.901417914562378e-15 2.3134053475832505e-17
8414.129907901115 1.9195183207651256e-15 2.3717029531141854e-17
8415.208434318953 1.903391448762729e-15 2.419269179572526e-17
8416.28696073679 1.922363485920241e-15 2.42260634190754e-17
8417.36548715463 1.9385771102515478e-15 2.38127446725026e-17
8418.444013572467 1.917264276596949e-15 2.3087352150875476e-17
8419.522539990305 1.9522176802779828e-15 2.2900921613224382e-17
8420.601066408144 1.953792250825139e-15 2.2861667551151376e-17
8421.679592825982 1.9433588868574747e-15 2.2795278485398055e-17
8422.75811924382 1.938236200984171e-15 2.2756466512716825e-17
8423.836645661659 1.9298508976516015e-15 2.276457402029975e-17
8424.915172079496 1.92992278432301e-15 2.275299433791084e-17
8425.993698497334 1.9577838500713143e-15 2.3018208680754398e-17
8427.072224915171 1.912228808480094e-15 2.3130256710958087e-17
8428.15075133301 1.8893592300475834e-15 2.368365080041591e-17
8429.229277750848 1.841427263115623e-15 2.5475695545629658e-17
8430.307804168686 1.8613570741602166e-15 2.6639564830233683e-17
8431.386330586525 1.8633546228217765e-15 2.632978936159829e-17
8432.464857004363 1.8878631475282315e-15 2.5019254736619096e-17
8433.5433834222 1.90014489724132e-15 2.3480831159884634e-17
8434.621909840038 1.920351554712231e-15 2.2695429761540443e-17
8435.700436257877 1.919677851605711e-15 2.252634751668512e-17
8436.778962675715 1.912015264980487e-15 2.2445477810047965e-17
8437.857489093552 1.8999927041317563e-15 2.230495862649041e-17
8438.936015511392 1.9170806453264995e-15 2.2386497620003062e-17
8440.01454192923 1.9563062524721303e-15 2.260027851757578e-17
8441.093068347067 1.9296911140649693e-15 2.2499680596527407e-17
8442.171594764906 1.9296563472095274e-15 2.2501388539013483e-17
8443.250121182744 1.9146788453499797e-15 2.2323358770017827e-17
8444.328647600581 1.9120748615278136e-15 2.23386849106615e-17
8445.407174018419 1.9206197497124114e-15 2.252470726329402e-17
8446.485700436258 1.933229917791024e-15 2.2691666945798936e-17
8447.564226854096 1.9183541073914785e-15 2.2684689621969537e-17
8448.642753271934 1.8886625920170173e-15 2.250656951817063e-17
8449.721279689773 1.90832874886008e-15 2.270592692997827e-17
8450.79980610761 1.88711665737073e-15 2.2794926276824904e-17
8451.878332525448 1.9038207146831746e-15 2.3333993101732567e-17
8452.956858943286 1.8933590282323424e-15 2.3454374358108962e-17
8454.035385361125 1.9063241760585052e-15 2.321910030796457e-17
8455.113911778963 1.8968439293066875e-15 2.2718549338882862e-17
8456.1924381968 1.9026513127474243e-15 2.2321044047412214e-17
8457.27096461464 1.910238630447831e-15 2.2283765746476323e-17
8458.349491032477 1.9128702213944326e-15 2.2294052204605042e-17
8459.428017450315 1.914428816737455e-15 2.2413529543738808e-17
8460.506543868154 1.9224039059370685e-15 2.2333161115605337e-17
8461.585070285992 1.9008875162191515e-15 2.2432426648088862e-17
8462.66359670383 1.8951323066333524e-15 2.274489625333401e-17
8463.742123121667 1.836423163070288e-15 2.3403706778029936e-17
8464.820649539506 1.852039661987134e-15 2.483668567181973e-17
8465.899175957344 1.8811196427321233e-15 2.5290530707107447e-17
8466.977702375181 1.8537274986165552e-15 2.4483802459014114e-17
8468.05622879302 1.914149623889956e-15 2.3582587087219347e-17
8469.134755210858 1.8977495063451216e-15 2.2471654511261725e-17
8470.213281628696 1.9011131858685126e-15 2.2249100722787857e-17
8471.291808046533 1.894410805266134e-15 2.2231214050858376e-17
8472.370334464373 1.8879780842672945e-15 2.2162036371509332e-17
8473.44886088221 1.895011367487816e-15 2.2370237006197415e-17
8474.527387300048 1.9031604142118624e-15 2.228024757078786e-17
8475.605913717887 1.9178782825430724e-15 2.242965713211305e-17
8476.684440135725 1.90147178253404e-15 2.2195657604448174e-17
8477.762966553562 1.9213603917709715e-15 2.2292468056215622e-17
8478.841492971402 1.922442707230618e-15 2.2248221611820577e-17
8479.92001938924 1.8969714132223807e-15 2.2090023664992325e-17
8480.998545807077 1.936411390530913e-15 2.2301296681576872e-17
8482.077072224914 1.9401780404214772e-15 2.236800907297779e-17
8483.155598642754 1.9357707655407438e-15 2.2278584263573204e-17
8484.234125060591 1.9761768137890925e-15 2.2529177819139247e-17
8485.312651478429 1.9887750759443017e-15 2.2572334223057558e-17
8486.391177896268 2.0233364943852593e-15 2.2773036051158032e-17
8487.469704314106 2.0352895568310744e-15 2.290059017797969e-17
8488.548230731943 2.0310890780924797e-15 2.2866548522833856e-17
8489.626757149781 2.025000587909677e-15 2.2775381757901127e-17
8490.70528356762 2.020367551029031e-15 2.2693741510457918e-17
8491.783809985458 2.0027354119324555e-15 2.2846624168196815e-17
8492.862336403296 1.9895236924721435e-15 2.3076284919024797e-17
8493.940862821135 1.98244925400232e-15 2.3148884221092536e-17
8495.019389238973 1.9452825391588292e-15 2.2876171051988213e-17
8496.09791565681 1.957677208989109e-15 2.2659965340877044e-17
8497.176442074648 1.968881341842476e-15 2.2421918976164045e-17
8498.254968492487 1.9786661112100876e-15 2.2265839176258836e-17
8499.333494910325 1.9682373350944404e-15 2.217259872315493e-17
8500.412021328162 1.962478017411378e-15 2.222068025485125e-17
8501.490547746002 1.958055906601406e-15 2.2297154070273082e-17
8502.56907416384 1.932168933246783e-15 2.236436074637307e-17
8503.647600581677 1.9372408154095542e-15 2.3013754145466362e-17
8504.726126999516 1.957312067008346e-15 2.3604912526086432e-17
8505.804653417354 1.9539310807951966e-15 2.3598956851356135e-17
8506.883179835191 1.9696171073433204e-15 2.317338824036865e-17
8507.961706253029 1.9933860031522355e-15 2.2753207580908667e-17
8509.040232670868 1.9962757588456024e-15 2.240919981621733e-17
8510.118759088706 1.987690773180982e-15 2.2348943446638496e-17
8511.197285506543 2.0164372716690307e-15 2.2490090247771706e-17
8512.275811924383 2.0073162809832306e-15 2.2477657218563275e-17
8513.35433834222 1.9960406617787806e-15 2.2307029381691843e-17
8514.432864760058 2.0380736843921374e-15 2.2459258534269876e-17
8515.511391177897 2.060771439507744e-15 2.263588591785417e-17
8516.589917595735 2.0346776299584485e-15 2.244275725261056e-17
8517.668444013572 1.925160534640379e-15 2.1893102106499345e-17
8518.74697043141 1.8931352194144e-15 2.1799455518855983e-17
8519.82549684925 1.871310789322716e-15 2.1790259537836398e-17
8520.904023267087 1.8650476751210947e-15 2.1672362047209762e-17
8521.982549684924 1.8708475081136573e-15 2.170119306845864e-17
8523.061076102764 1.8919970662587433e-15 2.1783246626326034e-17
8524.139602520601 1.8970310930555925e-15 2.187207769078809e-17
8525.218128938439 1.9129751843868017e-15 2.1924126115116353e-17
8526.296655356276 1.9062681232655063e-15 2.1886314775065416e-17
8527.375181774116 1.921746129522362e-15 2.1936048115258115e-17
8528.453708191953 1.9742539889244345e-15 2.2256946538190575e-17
8529.532234609791 2.0111985275299766e-15 2.2426951087338535e-17
8530.61076102763 2.0371923579211147e-15 2.2626784931211714e-17
8531.689287445468 2.0400922423562498e-15 2.261968130423029e-17
8532.767813863305 2.0682511309161707e-15 2.274178892730033e-17
8533.846340281143 2.025243267911028e-15 2.2598272052737545e-17
8534.924866698982 2.0106288354755785e-15 2.2542864889731704e-17
8536.00339311682 2.0085994080399647e-15 2.2460201310665804e-17
8537.081919534658 1.9877198502336144e-15 2.246469405176997e-17
8538.160445952497 1.9728787812490047e-15 2.2576659682709472e-17
8539.238972370335 1.9812862552633216e-15 2.2599219535625443e-17
8540.317498788172 1.973243914517105e-15 2.2542131678031247e-17
8541.396025206011 1.994742639372763e-15 2.2393690366586464e-17
8542.474551623849 1.9704898881553693e-15 2.230669428384402e-17
8543.553078041687 1.947866082942604e-15 2.1987058924134956e-17
8544.631604459524 1.9265167117136356e-15 2.1955222564881588e-17
8545.710130877364 1.9090855365706986e-15 2.1979012045644817e-17
8546.788657295201 1.9492211811415467e-15 2.230980801855102e-17
8547.867183713039 1.9571913461686047e-15 2.2660230753048512e-17
8548.945710130878 1.932975286735143e-15 2.275931210549411e-17
8550.024236548716 1.9469382047915435e-15 2.2695459369891656e-17
8551.102762966553 1.979076118156385e-15 2.259998603810812e-17
8552.18128938439 1.970519136694181e-15 2.2406674854917538e-17
8553.25981580223 1.9628317796342447e-15 2.2256682771195948e-17
8554.338342220068 1.9661637375167078e-15 2.225236518237167e-17
8555.416868637905 1.99426251214464e-15 2.2374477908588572e-17
8556.495395055745 2.049058249818565e-15 2.269836474391286e-17
8557.573921473582 2.0706099384622943e-15 2.2855814040774612e-17
8558.65244789142 2.082569135516886e-15 2.2785867650528938e-17
8559.73097430926 2.077592483823683e-15 2.266406090327707e-17
8560.809500727097 1.9895136713213775e-15 2.2286349000796497e-17
8561.888027144934 1.9204239016494757e-15 2.1872870786145923e-17
8562.966553562772 1.8546389080956585e-15 2.1516012479419558e-17
8564.045079980611 1.8191123434326285e-15 2.138163743297473e-17
8565.123606398449 1.814923172869008e-15 2.13766480118608e-17
8566.202132816286 1.8144047762098795e-15 2.1225722872479413e-17
8567.280659234126 1.789754455413962e-15 2.1175395813809365e-17
8568.359185651963 1.785884803637271e-15 2.11969917674668e-17
8569.4377120698 1.799009051360285e-15 2.1231533470986908e-17
8570.516238487638 1.783164411766794e-15 2.1103853648075085e-17
8571.594764905478 1.8069471198443925e-15 2.1153315601324975e-17
8572.673291323315 1.7991825689260326e-15 2.116174614729391e-17
8573.751817741153 1.792174319918178e-15 2.1175809352853204e-17
8574.830344158992 1.7858495282989356e-15 2.115578990363708e-17
8575.90887057683 1.789723643221869e-15 2.1112104190519185e-17
8576.987396994668 1.811938003294826e-15 2.124670884301004e-17
8578.065923412507 1.798987918969586e-15 2.1215094230614057e-17
8579.144449830344 1.789490216340486e-15 2.1147418576786577e-17
8580.222976248182 1.7790151940612468e-15 2.1120700884400572e-17
8581.30150266602 1.7695825815329287e-15 2.0964042990183994e-17
8582.380029083859 1.7671594157475195e-15 2.0965951907614114e-17
8583.458555501697 1.7801471451591543e-15 2.0975990709700268e-17
8584.537081919534 1.778964883247062e-15 2.1049533546793195e-17
8585.615608337373 1.7665166561649503e-15 2.0925109423938698e-17
8586.694134755211 1.7630155601226862e-15 2.1087632365902535e-17
8587.772661173049 1.782296385645003e-15 2.1144866962315398e-17
8588.851187590886 1.7874675070072427e-15 2.1253090809737356e-17
8589.929714008726 1.7757844558798836e-15 2.1056858839820866e-17
8591.008240426563 1.788986588354933e-15 2.107222025102532e-17
8592.0867668444 1.7788689463639786e-15 2.094372174142228e-17
8593.16529326224 1.7543572346761952e-15 2.080161980137121e-17
8594.243819680078 1.7627800905337346e-15 2.0874544906062288e-17
8595.322346097915 1.7821626717278354e-15 2.098181059642402e-17
8596.400872515755 1.7660910927370851e-15 2.1033089007225125e-17
8597.479398933592 1.7894189802655325e-15 2.117457863814408e-17
8598.55792535143 1.7608748660250935e-15 2.1050782668900924e-17
8599.636451769267 1.7647193987242464e-15 2.0964277232428956e-17
8600.714978187107 1.780655031168567e-15 2.1009430203614656e-17
8601.793504604944 1.7635378358712977e-15 2.0941441129596613e-17
8602.872031022782 1.7799033397442637e-15 2.0885130814686218e-17
8603.950557440621 1.781520831937365e-15 2.0894789197168984e-17
8605.029083858459 1.7774031426255345e-15 2.0914420324613714e-17
8606.107610276296 1.788441218098709e-15 2.089617852068436e-17
8607.186136694134 1.7809426910856347e-15 2.0907186220018942e-17
8608.264663111973 1.7792252420422824e-15 2.104925732785478e-17
8609.34318952981 1.755568996053574e-15 2.08704581599503e-17
8610.421715947648 1.7950243708041996e-15 2.0977575774029078e-17
8611.500242365488 1.7696539012224433e-15 2.0838524154315962e-17
8612.578768783325 1.770670173966039e-15 2.0964338303882618e-17
8613.657295201163 1.7757148472513624e-15 2.0979829246110677e-17
