#WAVELENGTH FLUX ERROR
8275.0 1.1507829226464022e-16 8.176934853835645e-17
8276.078526417838 1.2849074625740968e-16 1.5842706127877542e-17
8277.157052835677 1.1827336888806827e-16 1.614957735668694e-17
8278.235579253515 1.2526455139494117e-16 1.692679857576336e-17
8279.314105671352 1.4743539608777672e-16 1.7526996218136355e-17
8280.39263208919 1.554692133496395e-16 1.7990672216627327e-17
8281.471158507029 1.4668754187131192e-16 1.7913510486591323e-17
8282.549684924867 1.331056933239862e-16 1.680596151968254e-17
8283.628211342704 1.4305976084603507e-16 1.5672224730631803e-17
8284.706737760544 1.2377174924293065e-16 1.462945332108482e-17
8285.785264178381 1.392248894572406e-16 1.5385897489736628e-17
8286.863790596219 1.2375887736750035e-16 1.598904207303412e-17
8287.942317014058 1.6126887863741975e-16 1.9539018768885577e-17
8289.020843431896 1.23853959559376e-16 1.747037956994352e-17
8290.099369849733 1.2901568936033602e-16 1.5673922452869718e-17
8291.17789626757 1.4125447962713982e-16 1.412558846651107e-17
8292.25642268541 1.3318513159909618e-16 1.2818409223869456e-17
8293.334949103248 1.3124880830371694e-16 1.2300841126829017e-17
8294.413475521085 1.363720082425255e-16 1.2728447467756685e-17
8295.492001938925 1.184004154815166e-16 1.3609437302738228e-17
8296.570528356762 1.2716688825579225e-16 1.4736837800095464e-17
8297.6490547746 1.3591456103039105e-16 1.6039281555424233e-17
8298.727581192437 1.2883274267029317e-16 1.6645243440301507e-17
8299.806107610277 1.3931036107183207e-16 1.5902769262343225e-17
8300.884634028114 1.2725320684648382e-16 1.386671475467182e-17
8301.963160445952 1.409033714398632e-16 1.2435451649973335e-17
8303.041686863791 1.337939222378331e-16 1.1413614628972911e-17
8304.120213281629 1.2540463026414522e-16 1.0872452963972455e-17
8305.198739699466 1.3457914664719508e-16 1.0821157249458142e-17
8306.277266117306 1.348422737212807e-16 1.0742519184366696e-17
8307.355792535143 1.3553071419185724e-16 1.0843160797653284e-17
8308.43431895298 1.5459322998365002e-16 1.146302729238085e-17
8309.512845370818 1.5546119127999e-16 1.2059070314306612e-17
8310.591371788658 1.4676163594707953e-16 1.239839984085859e-17
8311.669898206495 1.4584895170619923e-16 1.2062977096947517e-17
8312.748424624333 1.37294720174992e-16 1.1155993946173875e-17
8313.826951042172 1.4448167502229965e-16 1.0589736521891381e-17
8314.90547746001 1.4452403337209896e-16 1.0210856821323308e-17
8315.984003877847 1.3940783604111412e-16 9.990267029675087e-18
8317.062530295685 1.311253251543719e-16 9.816478974736128e-18
8318.141056713524 1.2627850104504233e-16 9.693602979182496e-18
8319.219583131362 1.4080997972864996e-16 9.889944154616967e-18
8320.2981095492 1.2734674583033103e-16 9.472721167344578e-18
8321.376635967039 1.265186800534506e-16 9.246972660450335e-18
8322.455162384877 1.4238382907086253e-16 9.489331715862251e-18
8323.533688802714 1.4974206928989558e-16 9.508934212384068e-18
8324.612215220553 1.4295525125175352e-16 9.304331192367293e-18
8325.690741638391 1.3710649811147677e-16 9.142080180658127e-18
8326.769268056229 1.4258242800546916e-16 9.036388061694635e-18
8327.847794474066 1.4622038501054733e-16 9.053026503127571e-18
8328.926320891906 1.402681802960184e-16 8.805460838646372e-18
8330.004847309743 1.4577186770832898e-16 8.823424965683482e-18
8331.08337372758 1.3268028512671758e-16 8.555684134426989e-18
8332.16190014542 1.4884659915876703e-16 8.616220180656771e-18
8333.240426563258 1.5271456982993301e-16 8.677416657835526e-18
8334.318952981095 1.3764652852307224e-16 8.320095857755895e-18
8335.397479398933 1.4337896695243743e-16 8.392556401848111e-18
8336.476005816772 1.4045159551129164e-16 8.376295428157361e-18
8337.55453223461 1.439285983080946e-16 8.372685272725648e-18
8338.633058652447 1.338683666323218e-16 8.190535503509368e-18
8339.711585070287 1.3433792215406212e-16 8.294194978843861e-18
8340.790111488124 1.3200470031687339e-16 8.980717308804288e-18
8341.868637905962 1.343064619040774e-16 1.0633854522951692e-17
8342.9471643238 1.400169038766286e-16 1.3206631337474993e-17
8344.025690741639 1.4431987117365315e-16 1.5891729733052706e-17
8345.104217159476 1.4630732738372074e-16 1.6010883246060137e-17
8346.182743577314 1.2050476796312095e-16 1.3632649667558078e-17
8347.261269995153 1.191948250507726e-16 1.0842736701738804e-17
