#WAVELENGTH FLUX ERROR
6450.0 3.535479528541582e-16 4.0548177111198294e-17
6450.945225399903 3.5194926629039694e-16 9.41300451168387e-18
6451.890450799806 3.4565011985679446e-16 9.34615019913409e-18
6452.835676199709 3.5153052319833085e-16 9.401054858112755e-18
6453.780901599613 3.646698466806233e-16 9.46273382836917e-18
6454.726126999515 3.6894147738576364e-16 9.506377905784777e-18
6455.6713523994185 3.547450986216453e-16 9.426878800180745e-18
6456.616577799321 3.5008673025485077e-16 9.295259364734886e-18
6457.561803199224 3.511014955396707e-16 9.34390656795152e-18
6458.507028599128 3.5916915661997727e-16 9.405377699508593e-18
6459.45225399903 3.5984110507186966e-16 9.349078483626287e-18
6460.397479398934 3.4230633935047994e-16 9.259959570155188e-18
6461.342704798837 3.391374905973381e-16 9.233779661159184e-18
6462.28793019874 3.3890406481977097e-16 9.32865508051249e-18
6463.233155598643 3.3953429695937536e-16 9.42120683668111e-18
6464.178380998545 3.495237287570493e-16 9.573154517939745e-18
6465.123606398449 3.3726457762284023e-16 9.608355280650444e-18
6466.068831798352 3.3629586330629973e-16 9.574606077135178e-18
6467.014057198255 3.3911892871969524e-16 9.437955756612241e-18
6467.959282598158 3.4011172665168595e-16 9.314227466303446e-18
6468.9045079980615 3.5159945543703533e-16 9.404369965199272e-18
6469.849733397964 3.475174320802488e-16 9.557054171018035e-18
6470.794958797867 3.441480576165347e-16 9.625768063488626e-18
6471.74018419777 3.426646703642391e-16 9.483068632209047e-18
6472.685409597673 3.4150737774879453e-16 9.28588275665869e-18
6473.630634997577 3.4182498314998494e-16 9.164209690210852e-18
6474.575860397479 3.3765867883685387e-16 9.09101912364749e-18
6475.5210857973825 3.407610512868293e-16 9.098178812291083e-18
6476.466311197286 3.3049415764000774e-16 9.006384644676025e-18
6477.411536597188 3.297036770310494e-16 9.0462396603843e-18
6478.356761997092 3.383486371086147e-16 9.08991054533621e-18
6479.301987396994 3.3562007506631767e-16 9.084165713455024e-18
6480.247212796898 3.3814662202532173e-16 9.03682347794916e-18
6481.192438196801 3.301888512612813e-16 8.861525607111442e-18
6482.1376635967035 3.2948168395737834e-16 8.913079585117972e-18
6483.082888996607 3.297325790593104e-16 8.901248199615912e-18
6484.02811439651 3.3330234993368276e-16 8.888468878263583e-18
6484.973339796413 3.3994176285936774e-16 8.917048324997941e-18
6485.918565196316 3.2777792656858567e-16 8.871206645403181e-18
6486.863790596219 3.2444375885878645e-16 8.805245752597263e-18
6487.809015996122 3.292575020938448e-16 8.854854525992634e-18
6488.7542413960255 3.255555443409576e-16 8.770560772144286e-18
6489.699466795928 3.2247203904932797e-16 8.752831432648125e-18
6490.644692195831 3.3015704893194827e-16 8.803022760156973e-18
6491.589917595735 3.2861068296635593e-16 8.799134928256132e-18
6492.535142995637 3.288901740524984e-16 8.812022856508465e-18
6493.480368395541 3.1935615611012937e-16 8.699611923102605e-18
6494.425593795443 3.328131861415359e-16 8.770788441043485e-18
6495.3708191953465 3.3304265653601636e-16 8.776900263646799e-18
6496.31604459525 3.2595777208364077e-16 8.906792540704606e-18
6497.261269995152 3.215206221164043e-16 9.271848985996033e-18
6498.206495395056 3.158213998922076e-16 9.512460834537295e-18
6499.151720794959 3.108750037151665e-16 9.475086344753407e-18
6500.096946194862 3.1424266168314224e-16 9.145298282726294e-18
6501.042171594765 3.090529318229651e-16 8.779522423990128e-18
6501.9873969946675 3.1267537593883626e-16 8.605485780269909e-18
6502.932622394571 3.0670478253559805e-16 8.595518992144856e-18
6503.877847794474 3.112843634236012e-16 8.702667509865013e-18
6504.823073194377 3.070590364858484e-16 8.761572388140239e-18
6505.76829859428 3.0819260236800475e-16 8.699091434194065e-18
6506.713523994184 3.10496943438363e-16 8.578930348518029e-18
6507.658749394086 3.140265167125267e-16 8.502380417971536e-18
6508.603974793989 3.0840036773001505e-16 8.413472759289885e-18
6509.549200193893 3.0601667730700187e-16 8.374737576035653e-18
6510.494425593795 2.99674309349392e-16 8.329472492709282e-18
6511.439650993699 2.9811715622388024e-16 8.30036616882614e-18
6512.384876393601 2.9925364693153235e-16 8.332888607271994e-18
6513.330101793505 3.1037868380882434e-16 8.430511598969524e-18
6514.275327193408 3.13992240708201e-16 8.510649180049098e-18
6515.2205525933105 3.0310242496894106e-16 8.364169335512199e-18
6516.165777993214 3.010910784951447e-16 8.271057656810546e-18
6517.111003393117 3.010083746936375e-16 8.259374420698915e-18
6518.05622879302 3.0868642499084704e-16 8.320680329846866e-18
6519.001454192923 3.0550130624108473e-16 8.23634671776053e-18
6519.946679592826 2.984583469769691e-16 8.161558890768564e-18
6520.891904992729 3.065903942786452e-16 8.301750653119595e-18
6521.837130392632 2.912240023495121e-16 8.298287185897086e-18
6522.782355792535 2.832982190297559e-16 8.245979162761603e-18
6523.727581192438 2.911134936228559e-16 8.28098809408216e-18
6524.672806592342 2.782556936995516e-16 8.05068017718853e-18
6525.618031992244 2.8732233612043164e-16 8.088614667690172e-18
6526.5632573921475 2.8800330975722317e-16 8.066384593659031e-18
6527.50848279205 2.8046052414406756e-16 8.007160983786624e-18
6528.453708191953 2.805596962875639e-16 7.984336578885157e-18
6529.398933591857 2.8373675666797287e-16 7.941867300180587e-18
6530.344158991759 2.932053766176372e-16 8.153500965539206e-18
6531.289384391663 2.6987189417356204e-16 8.161447807347806e-18
6532.234609791566 2.6423407330589346e-16 8.421559024720395e-18
6533.179835191469 2.6536537842698764e-16 8.576483645853365e-18
6534.125060591372 2.6810627349219144e-16 8.386678699555817e-18
6535.070285991274 2.6577880934509977e-16 7.991178574500603e-18
6536.015511391178 2.70399755279415e-16 7.86134184327146e-18
6536.960736791081 2.649374689622861e-16 7.749552373268798e-18
6537.905962190984 2.7186328823619635e-16 7.77702893470022e-18
6538.851187590887 2.6467310668899227e-16 7.677260532125333e-18
6539.7964129907905 2.6576704576657033e-16 7.776697452822744e-18
6540.741638390693 2.6246953947823097e-16 7.734800918811185e-18
6541.686863790596 2.5976318563328434e-16 7.746699416238036e-18
6542.632089190499 2.535979297303986e-16 7.751443731460926e-18
6543.577314590402 2.493497338832367e-16 7.83551105047267e-18
6544.522539990306 2.4618094307155227e-16 7.777363700764213e-18
6545.467765390208 2.577735529607451e-16 7.810662185520579e-18
6546.4129907901115 2.5688763867294007e-16 7.643103267850124e-18
6547.358216190015 2.5373073587257896e-16 7.515760657592616e-18
6548.303441589917 2.4153744958981165e-16 7.390595479043615e-18
6549.248666989821 2.3855681070165594e-16 7.385654837595347e-18
6550.193892389723 2.4332617530181734e-16 7.423544221468762e-18
6551.139117789627 2.472072981372065e-16 7.563209134795259e-18
6552.08434318953 2.3564273961659375e-16 7.779668285311242e-18
6553.0295685894325 2.329171171487561e-16 8.067822472714278e-18
6553.974793989336 2.3557960057834415e-16 8.127969913491177e-18
6554.920019389239 2.2921251295178604e-16 7.795392591257633e-18
6555.865244789142 2.2540824607739015e-16 7.389429114323255e-18
6556.810470189045 2.2850326702315367e-16 7.2083934521172e-18
6557.755695588949 2.1723465226523823e-16 7.048186039101453e-18
6558.700920988851 2.204853110566155e-16 7.081061924337808e-18
6559.6461463887545 2.1231121115695615e-16 7.016378319071859e-18
6560.591371788657 2.0923578439936983e-16 7.156219945568923e-18
6561.53659718856 2.063968324196053e-16 7.667889352699854e-18
6562.481822588464 1.9384755995315017e-16 7.949479910686277e-18
6563.427047988366 1.9158134120213328e-16 7.842381834065355e-18
6564.37227338827 1.755224541565222e-16 7.190060700383637e-18
6565.317498788173 1.903660870018986e-16 6.858696874102373e-18
6566.2627241880755 2.0928247157084358e-16 6.8844205442989164e-18
6567.207949587979 2.090304242093592e-16 7.004635131268761e-18
6568.153174987881 2.1368928184587297e-16 7.121814552264044e-18
6569.098400387785 2.2587330085647674e-16 7.308931523058335e-18
6570.043625787688 2.282445423292502e-16 7.223667123000353e-18
6570.988851187591 2.2362732286682543e-16 7.121706118766229e-18
6571.934076587494 2.2944154671968616e-16 7.135549830080995e-18
6572.879301987397 2.3472841194225494e-16 7.110899847165179e-18
6573.8245273873 2.3357989109244556e-16 7.09324469817809e-18
6574.769752787203 2.391700031925298e-16 7.248763387151879e-18
6575.714978187106 2.367793596068788e-16 7.433179700025087e-18
6576.660203587009 2.369087267127022e-16 7.716355800919971e-18
6577.605428986913 2.4223544974165855e-16 7.813077301188765e-18
6578.550654386815 2.4574152041203526e-16 7.642964729385884e-18
6579.495879786718 2.386275351240778e-16 7.327916551717402e-18
6580.441105186622 2.391005365895887e-16 7.181065469000994e-18
6581.386330586524 2.468577702818103e-16 7.242173082071989e-18
6582.331555986428 2.407221401727611e-16 7.170114650678098e-18
6583.27678138633 2.448227340964548e-16 7.189745174780542e-18
6584.222006786234 2.429400584315695e-16 7.212708602151914e-18
6585.167232186137 2.4660114311622974e-16 7.235297148860014e-18
6586.112457586039 2.538230634549419e-16 7.258102910030309e-18
6587.057682985943 2.4797322007138844e-16 7.217106356445886e-18
6588.002908385846 2.466850288563844e-16 7.182678254047445e-18
6588.948133785749 2.5659804175129505e-16 7.283765845593413e-18
6589.893359185652 2.540274189226776e-16 7.277659442136057e-18
6590.838584585555 2.6214667098959207e-16 7.374929568008676e-18
6591.783809985458 2.560026611795242e-16 7.273073846966023e-18
6592.729035385361 2.599636983636328e-16 7.324123486268962e-18
6593.674260785264 2.554717539036928e-16 7.272562295657639e-18
6594.619486185167 2.694439234216687e-16 7.42726110984229e-18
6595.564711585071 2.640154003321051e-16 7.395381501176332e-18
6596.509936984973 2.5920647080629584e-16 7.428760396484233e-18
6597.4551623848765 2.5476019627914105e-16 7.35268962216073e-18
6598.400387784779 2.640289288090552e-16 7.39319604835927e-18
6599.345613184682 2.6991542170443165e-16 7.413324017918332e-18
6600.290838584586 2.645210252294271e-16 7.329782879944004e-18
6601.236063984488 2.6615261772114495e-16 7.34141864549152e-18
6602.181289384392 2.805936767616174e-16 7.548607031761661e-18
6603.126514784295 2.7598535830110577e-16 7.633456521938672e-18
6604.071740184198 2.6978251456611744e-16 7.699209821423204e-18
6605.016965584101 2.6709621148942745e-16 7.611392533872422e-18
6605.962190984004 2.774499233779774e-16 7.58367565654781e-18
6606.907416383907 2.743170743133407e-16 7.444266534999842e-18
6607.85264178381 2.817406599867414e-16 7.465785517423351e-18
6608.797867183713 2.7816270028786927e-16 7.427365250775091e-18
6609.743092583616 2.785936695422761e-16 7.454265670870022e-18
6610.6883179835195 2.858871458457686e-16 7.506564369190736e-18
6611.633543383422 2.8571557941405157e-16 7.502833973333942e-18
6612.578768783325 2.8040272333212123e-16 7.463373587944122e-18
6613.523994183228 2.7778632312836675e-16 7.392993548411349e-18
6614.469219583131 2.8233562357017617e-16 7.380760931924796e-18
6615.414444983035 2.7768224827036335e-16 7.413571451829008e-18
6616.359670382937 2.825470477015369e-16 7.43593092823814e-18
6617.3048957828405 2.8278530863303403e-16 7.473398944531656e-18
6618.250121182744 2.7972740410155077e-16 7.438410131252463e-18
6619.195346582646 2.8883249504583267e-16 7.43388225338658e-18
